"Sample","Strain","Population","PoolSize","Age","Ethanolamine","1-Methylhistamine","Isoleucine","Leucine","Lysine","serine","arginine","Taurine","Pipecolate","Hydroxyproline","4-Guanidinobutanoate","N-Acetylornithine","Homoarginine","Dimethylarginine (A/SDMA)","Phosphocreatine","N-Ac-Arginine","Nicotinic Acid","Erythronic/Threonic Acid","N-Ac-Glutamate","1-Aminocyclopropane-1-carboxylic acid","N6,N6,N6-Trimethyl-L-lysine","4-Aminobenzoic Acid","Phenylacetic Acid","4-Hydroxybenzoic Acid","Aminoacetone","Succinylcarnitine","Cytidine diphosphate choline (CDPcholine)","Indole","Indole-3-Carboxylic Acid","Indoleacrylic acid","S-Adenosylhomocysteine","S-Adenosylmethionine","Deoxyguanosine","Inosine","1-Methyladenosine","5'-Methylthioadenosine","Uridine 5'-monophosphate","NAD","NADPH","FAD","Succinoadenosine","Glutamylarginine","Thymine","Oxypurinol","Cytosine","Glucosamine","Arabitol/Xylitol","Niacinamide","Riboflavin","Folic Acid"
"CA1","CRB","A","5","14",-0.898217854531563,-1.39459562089621,0.801115871588031,1.10209881453033,0.986808235685533,-0.0993430145980696,2.39510951499606,1.16215041977503,0.9817612930915,-1.16371258259316,-0.491505633904265,0.0649693048882893,-0.181383828738138,0.753245496967968,-0.996253052811535,-0.273432209364187,0.206304929250515,0.58088235534021,-1.35301990792805,0.635959682878841,0.623520683295506,0.546978784242352,-0.881011668257252,-0.594307840696474,-0.373118741317868,-0.88806340502981,0.643064825482387,-1.62230112759629,0.377846258051552,0.802341721684764,-0.485754409035332,1.24671141288288,-0.30148801796752,0.631576929443932,-1.25319189190278,0.160062955230651,-1.0684624467754,1.15737070118992,-0.869240349550715,-0.230297939307056,0.170072272353129,0.390492058831474,-0.723198134341466,0.249710526210897,-0.542836491990871,0.326566193245643,-0.954835982101665,0.951636391953274,0.853745346316722,-1.16253082817173
"CA2","CRB","A","50","14",-0.940621266503989,-1.0026482184781,0.844711282270615,1.0272212997188,0.890448147800824,-0.495792946410895,2.10539602775196,0.863584125654588,0.834975004673024,-0.597687217425277,-0.357444320174274,0.0855177464499475,-0.078203772914029,0.680355106646101,-0.985548784529122,0.0231359708306682,0.0754442834725051,0.426895310018586,0.490141232339012,0.569709612815338,0.603349807813246,0.392262896322919,-0.595263915881053,-0.963361130319282,-0.399015701843072,-0.637897790758209,0.708079301145443,-1.25490142980891,0.23910216196688,0.831524611471966,-0.474367368974913,1.06008088335848,-0.524552068455078,0.529142292110962,-1.13787078696785,-0.518101147616752,-1.21915144578582,0.774883047891088,-1.18753223791062,-0.470462221953817,0.624706829227438,0.450631570331538,-0.554727039511949,-0.00369655062351626,-0.53008062169726,0.0860707348984224,-0.973985431639321,0.662233279833732,0.972457800972906,-0.949146951603876
"CA3","CRB","A","100","14",-0.873610942781619,-0.834744699851916,0.843567289064451,0.980376578303123,0.884237475793154,-0.501169125729123,2.065526929998,0.803620384411512,0.821630218282932,-0.502918734259942,-0.480272054787505,0.545444308605015,-0.239182965326697,0.4439238835924,-1.00802572589448,0.244459379164454,0.0730748317876015,0.386567538237296,0.589288727887875,0.592533124917302,0.574859753873287,0.44176707968368,-0.408298527813213,-1.09841898630542,-0.408033910024348,-0.907413374680051,0.814853928527997,-1.1048444063211,0.153460097335057,0.855106900619656,-0.518182930678392,1.08581277872263,-0.469466867785497,0.535720429076651,-1.24508194900416,-0.312018846216321,-1.13114145032145,0.596328406561909,-1.67663866037472,-0.700733118219615,0.622651277365479,0.467607867284634,-0.427652058234322,-0.0548543742270278,-0.406245224106857,0.121706638583488,-0.950743603888601,0.616608628947759,0.873045697185098,-0.774087616980077
"CA4","CRB","A","5","40",-0.686123400924638,-1.20458982759402,0.697420922583423,0.998873121071017,0.899809144835555,-0.186246897856067,2.05820832083596,1.22329918904843,0.923893424973321,-1.5527731992531,-0.636557633921256,-0.0837368612166216,-0.515611336551944,0.370579252764653,-0.917297543550183,-0.155532819378204,0.27516265455418,0.514822238046892,-0.025529823336738,0.654817284710894,0.387909602572972,0.481854450509092,-0.67800331090212,-0.551725864785944,-0.0411453412202754,-0.50032158302783,0.413939691078516,-0.88514175823794,0.244997165749819,0.859127532248601,-0.473519139980071,0.91523814064203,-0.675330005770691,0.508539687020446,-1.40465241224075,-0.0734728407047687,-0.945501611602542,1.17974514466275,-0.994823255655146,-0.130005723175815,-0.0193453901457978,0.209900836824023,-0.794894692238167,0.22409453614448,-0.820670814470852,0.319553114878203,-0.825719860253339,0.992030736783244,1.0472459760677,-0.62278922061139
"CA5","CRB","A","50","40",-0.668733280815754,-0.826247029434332,0.788734101947776,0.938481511288839,0.836405206574659,-0.520947487662072,2.13467645128821,0.917160428701499,0.801435527257913,-1.0041665809945,-0.570044422633793,-0.425197739828036,-0.529465435702761,0.302374022525196,-0.872653698110301,0.378237689924377,0.254445666853216,0.59015256158104,-0.116313852962389,0.572691377443175,0.426600096910536,0.46962130680059,-0.203931037852145,-1.05187854038087,-0.324504488697149,-0.495024032490399,0.888864467646682,-0.914172413879858,0.145080221323575,0.885611014913309,-0.440298524875989,0.74036709275921,-0.499708947408731,0.583610103197965,-1.6850213443376,-0.783069028876688,-0.741887658066189,0.839126614842663,-1.17601416272496,-0.320049257624407,0.680407084824105,0.302783671685373,-0.487795614997624,0.177666033884731,-0.829657637408463,0.257672810354607,-0.823487683641115,0.871799451324601,1.20633405258233,-0.68006866703005
"CA6","CRB","A","100","40",-0.623817242372641,-0.686556788929167,0.81532883236182,0.975080849241591,0.891669876078195,-0.551231704736885,2.11073596484792,0.847519994675963,0.83281161930134,-0.808277431122085,-0.591828361226924,-0.434181391571056,-0.545111914819343,0.243981103402275,-0.875061446629744,0.483747072253069,0.2711663236871,0.506949801527717,-0.313758396560662,0.575418777294476,0.441983218830006,0.494037867659517,-0.104294774773774,-1.03389751829291,-0.321070035524453,-0.491429254658587,0.942612644785275,-0.865089336212899,-0.0151342043704812,0.916476482009375,-0.453422999757334,0.757887090316071,-0.470303259208308,0.610642806165623,-1.24208381885072,-0.547966317309117,-1.02526930149751,0.601791460714162,-1.67483584572163,-0.565030112623906,0.699340088697743,0.375033477678339,-0.496494750375917,0.101383749987708,-0.710866688766747,0.22892858138735,-0.747001140628839,0.879448992435907,1.20963035462091,-0.619592993417805
"CB1","CRB","B","5","14",-0.921778375055303,-1.57318207954409,0.835797607041679,1.16413154401278,0.997518045722952,-0.0953033657129421,2.37045858362871,1.14449257297334,0.997238565694385,-1.38393476266602,-0.411851424729867,-0.0254472608950369,-0.202460002328898,0.721970804407479,-0.960424638960244,0.0137530017772383,0.298836066918814,0.530920011352966,-0.800662838203391,0.501472058810548,0.646638845748005,0.503274037661844,-0.872698475780386,-0.633625482716166,-0.234566638349581,-1.18421496437733,0.617854761295391,-1.41893042337125,0.397820611986447,0.733245622143134,-0.405990011069127,1.17906376048821,-0.483655753007907,0.598496966227986,-1.07252273120832,-0.112542891566921,-0.928598619254553,1.11648321325301,-1.0633864760802,-0.133672198996483,0.260090651882091,0.30422661053499,-0.59335452305947,0.270257310530023,-0.658471033234247,0.33353440776488,-0.934779971567728,0.91731932716284,0.764528570795492,-1.11336861807977
"CB2","CRB","B","50","14",-0.934682579195199,-1.04985692575564,0.844782492976831,1.07923367262282,0.895163091817718,-0.533765715600291,2.1249405288472,0.859728213100206,0.847411469407893,-1.07221767406168,-0.519794341576146,0.377394963989209,-0.198372922619191,0.594421741397848,-0.966158657531001,-0.12459622588553,0.0957069850460517,0.526105935759261,0.337449152041588,0.510096051925133,0.604945443636672,0.408956472911717,-0.542160344154215,-0.83072498711058,-0.426808001904269,-0.795944274105128,0.885182984435733,-1.09485830918771,0.246221070788145,0.827115190067056,-0.462827688179589,1.08826012684385,-0.449553284024243,0.524045049340094,-1.48719102203249,-0.242439235102166,-0.90484639703083,0.85016939866232,-1.27586548747433,-0.479484183803192,0.710733154492637,0.451458822397679,-0.63906413379631,0.0191431507176798,-0.368215232397871,0.0880784846071343,-0.944158245113823,0.601218932292517,0.801288551771726,-0.855665264255268
"CB3","CRB","B","100","14",-0.871390983309096,-0.927781855296078,0.864665594447941,1.05435167686974,0.904692630767372,-0.551862426768789,2.08293022189369,0.79876375857102,0.842580332118962,-0.838919476649787,-0.522053811070495,0.533762763154553,-0.286311198216136,0.447213656659951,-0.997121159582982,-0.0701683394545816,0.0526551663613155,0.486151378812082,0.544421540215351,0.521970433618599,0.60910875344803,0.431699474722354,-0.371633442337057,-0.823635993054133,-0.424756271249277,-1.01510613423858,0.942236595662128,-0.983643909739079,0.166523020203734,0.805158108787481,-0.50240550923553,1.09776720716782,-0.421915561617189,0.548251010039504,-1.1279082808525,-0.277403679302051,-1.03536509176803,0.626325748938798,-1.65508080478884,-0.73614978818398,0.810126588304406,0.440315046258569,-0.677675977467803,-0.0462575656278563,-0.257944970570288,0.0380122505954281,-0.874326542418973,0.611663699602667,0.850828632564044,-0.815356516986411
"CB4","CRB","B","5","40",-0.733030447790802,-1.20880467216201,0.734183210125249,1.05709427095139,0.972000008413909,-0.201097251547594,2.33913542666103,1.12970397833775,0.974643124599251,-1.50910168118465,-0.762853525313484,-0.0489317482441454,-0.478972486013571,0.369586705867298,-0.913311867723092,-0.453045664393619,0.287486690810403,0.554648617407101,0.0570763737500481,0.575465555069944,0.531371241218191,0.460812144762607,-0.718556645667382,-0.571954359893529,-0.073956957415116,-0.58249205434654,0.505714820539342,-1.05298667200981,0.247119947370314,0.789445827550736,-0.448690514378221,1.01704138177049,-0.427728868761052,0.52855320189417,-1.46064284614414,-0.142623602950974,-0.674165516001739,1.13279024678527,-0.952555126192395,-0.111894659153956,0.256944827245627,0.161419505201344,-0.89512267326655,0.208448146652318,-0.836863605122942,0.315396216548774,-0.876297975231277,0.923464755386543,0.923740575184451,-0.917605379194941
"CB5","CRB","B","50","40",-0.678843584710965,-0.81033532739201,0.797105402591067,0.950251438581786,0.849491563543893,-0.504472258910218,2.13444237865459,0.907214931455071,0.820405253320065,-0.947719444371939,-0.628033711864267,-0.37123511938935,-0.550793299091783,0.243006002346684,-0.793585948059719,0.314755335057537,0.210178101960969,0.450698181046104,0.361035117257489,0.673094550869259,0.441726836742366,0.492296857414869,-0.25844760624955,-0.934294313093981,-0.295423501834982,-0.423644340325082,0.743154199135881,-0.876514993033675,0.120369952782369,0.875242766095558,-0.458640831878548,0.759472904812254,-0.573383364972596,0.553742502742301,-1.58373699674979,-0.677171851225848,-0.842023063835629,0.809153474562816,-1.33764238910017,-0.348231852742203,0.635246917134426,0.294416561851765,-0.654604450526198,0.0794282888100959,-0.697298326531457,0.257377783664636,-0.824978747916314,0.822718974023434,1.1412809592349,-0.666251911885896
"CB6","CRB","B","100","40",-0.68448483919163,-0.707155461219074,0.819400129643878,0.990801612717761,0.902248737464976,-0.454474985039878,2.14038994018491,0.916094162179627,0.858383794896839,-0.981445358763335,-0.594716597254158,-0.315833465709753,-0.478218013773269,0.226382095216977,-0.906169898587589,0.0639600717338764,0.170966327011303,0.425434033299233,0.384794295984378,0.664558254125546,0.484544710455027,0.523351868511726,-0.115312637071827,-0.78584467752064,-0.176866162593901,-0.525165044688273,0.689449909008511,-0.793403697641484,-0.0174528834207939,0.872208351415023,-0.482265630153095,0.670095241071558,-0.47745090557468,0.584974860297754,-1.60762400049713,-0.71757314031664,-1.03557688492778,0.682022040170053,-1.72212378399079,-0.56120528445101,0.698136249319708,0.410313088870587,-0.542399687930701,-0.0146927179450858,-0.540099277700596,0.175657207186007,-0.669635048841552,0.881395154963749,1.15345215106372,-0.481824201988078
"CC1","CRB","C","5","14",-0.862507346666423,-1.54639274958892,0.861024959533302,1.15066505616138,1.00073094054038,-0.0562804503910614,2.36747769751009,1.07970944931405,0.99434752849836,-1.27023373677492,-0.540550314261075,0.0639868934042802,-0.0869219329482602,0.723068208217407,-1.04906810878097,-0.215963915918546,0.247270666972971,0.575132378739612,-1.13778783619703,0.605094790016961,0.632098346935904,0.48639639433131,-0.886164591162409,-0.597555343917513,-0.224442118322834,-1.00498024271192,0.629386844416448,-1.55865022779193,0.42042353943669,0.838280781263105,-0.459689623975662,1.30661088631695,-0.66087628427328,0.534717982706455,-1.30485366117596,0.0600763606440982,-1.11811366768309,1.09120093408169,-0.784105403922835,-0.18698321702246,0.388396046157833,0.332210038792967,-0.713670604815055,0.313494919897586,-0.680396013023453,0.2952963226884,-0.96771314814321,0.922885392116839,0.797974002133271,-0.804056821359501
"CC2","CRB","C","50","14",-0.91025104267483,-0.948659230397679,0.797599904820659,1.02397042925241,0.90247670059561,-0.503938262110741,2.10156982487116,0.889321760963244,0.819961743358997,-0.956077862282529,-0.479882053968921,0.481426754628155,-0.221715531160662,0.58277959052078,-1.07265232694699,-0.0883094722160305,0.124742169338097,0.49328973727743,0.342520070394672,0.46070950238932,0.539092598032319,0.396186180507941,-0.462580814654952,-0.757862386060362,-0.39090129880307,-0.902036399159846,0.831273780256725,-1.13634924888336,0.230268437087655,0.73875343225017,-0.517468004879417,1.18319160675366,-0.447077433944743,0.498592105568051,-1.38937864115221,-0.207821744150955,-0.978486560226249,0.802686437536432,-1.27530874177366,-0.506875565282392,0.75575601151248,0.464602372785909,-0.696881338873107,0.0812937688198225,-0.405850729908394,0.0749710151522383,-0.923313713959289,0.665485696588028,0.839192738948556,-0.942035966740119
"CC3","CRB","C","100","14",-0.927719153505637,-0.895519395009151,0.804774082324517,0.966315378097685,0.902350139357098,-0.522756284739184,2.08449750140807,0.859039479326539,0.842174083804069,-0.613890122247012,-0.320352967412679,0.312884123366448,-0.00582649699451121,0.707322004244111,-0.914901488657075,-0.0603895361059061,0.048941816732877,0.481727306725877,0.314271126348016,0.449594018940303,0.601189031811693,0.423357220609978,-0.426798821501471,-0.815765453510606,-0.412781091499625,-1.02185594560188,0.81087755038671,-1.13241896610342,0.240063246030816,0.777204594992789,-0.470978266378959,1.09496305500898,-0.549840571392643,0.517518694546196,-1.1691580475418,-0.264173706933987,-1.05763005776365,0.636280610759265,-1.49475588069044,-0.723107785764022,0.769132452364244,0.440850101323649,-0.588043630661352,-0.0105094356849582,-0.41529152219348,0.0175368449312385,-0.940096712621636,0.629533655056616,0.923782610888201,-0.901619388870898
"CC4","CRB","C","5","40",-0.748106462652001,-1.18865658655491,0.724469001846561,1.00432691834037,0.92117810951191,-0.207238676170907,2.3610405421244,1.08918754994334,0.918209387445747,-1.5111854651075,-0.714179621429591,-0.124667210340426,-0.536936692428524,0.316289177212683,-0.897362983850571,-0.447076466988019,0.230541487631977,0.586804243852287,0.445762439005072,0.656544599043947,0.347709892045588,0.486190741427313,-0.597301118955513,-0.552072610776806,-0.16178994194061,-0.372764536164548,0.393761292935392,-0.941560366826399,0.199898542314598,0.829515944926071,-0.457167992350446,0.935469021374475,-0.65147085381752,0.561718030644846,-1.76372065972039,-0.12791389728486,-1.00114033144851,1.19802239129153,-0.772864039160262,-0.106448487891805,0.107827953096802,0.204164249806665,-0.721506225060794,0.175337787182206,-0.943315882505388,0.314554862366208,-0.895258159947526,0.973763062708478,1.14872282876599,-0.689304787470619
"CC5","CRB","C","50","40",-0.673951855770119,-0.767458585940482,0.748646018462995,0.941478641496089,0.865585793126966,-0.497399663632302,2.13105398272127,0.911653031774144,0.827158499540466,-1.01890600482353,-0.591269684032462,-0.404007338843952,-0.555373953915873,0.18398481302672,-0.974948108030028,0.391823377605321,0.172738903077081,0.619201139218186,0.0138375614727435,0.595214431823007,0.401277392119583,0.484698776825178,-0.116030753963647,-0.95577353969589,-0.276099592220494,-0.477609663857847,0.814645969303332,-0.910471502874802,0.101508369748119,0.850467972736086,-0.42560507978028,0.809670348121745,-0.495202912749885,0.552983364453182,-1.58971037665839,-0.561699025184871,-0.729837463889553,0.783085013630237,-1.24956779460546,-0.359032616841785,0.623609711449263,0.275320597195361,-0.509303256628736,0.106834718773618,-0.872266231676136,0.196252354954123,-0.87194670169343,0.892550190715359,1.16118859954488,-0.572997865605109
