"RunOrder","Tube","Cell","Sample","ID","Diet","Population","PoolSize","6-phosphoglucono-D-lactone","D-Ribose 5-phosphate","seduheptulose","glucose","fructose 6 phosphate","fructose 1, 6 phosphate","Oxaloacetate","Citric acid (Citrate)","cis-Aconitic acid","Succinic acid","Fumaric acid","L-Malic acid (L-Malate)","oxalosuccinic acid","Glutamine","Threonine","N-Acetylneuraminate","serine","Malonic acid","Xanthine","Uridine 5'-monophosphate","Hypoxanthine","N-Acetyl-D-tryptophan","Aminoadipate","Deoxycytidine","Allantoin","Pyroglutamic acid (5-oxoproline)","Urocanic acid","3-Methyl-3-Hydroxyglutaric Acid","N-Methyl-L-glutarate","Xanthosine","Thyrotropin releasing hormone","histidine","Deoxythiymidine diphosphate-glucose","N-Acetyl-Aspartate (NAA)","6-Phosphogluconic acid","Phosphoenolpyruvic acid","FAD","N-Acetyl-L-methionine","Uridine diphosphate-N-acetylglucosamine","Cytidine 3'-monophosphate","Glutathione","N-Ac-Glutamate","Inosine 5'-monophosphate","Pantothenic Acid","4-Aminobutanoic acid","Alanine","Uridine 5'-diphosphate","Tryptamine","Glutaric acid","Pimelic acid","N-acetylphenylalanine","10-Hydroxydecanoic acid","Methyl vanillate","Hippuric acid","Itaconic acid","Azelaic Acid","Suberic acid","N-Acetyl-L-leucine","Petroselinic acid","12-Hydroxydodecanoic acid ","Jasmonic acid","Glycerol 1-myristate"
38,"X1","A1","HSD_1_005","T1S","HSD","1","5",-0.0433557896114332,0.923817500904176,-0.193985598720421,1.71773576821434,1.6922755928917,0.111774452887455,-1.03589130118552,1.38053066357765,0.628944022805785,-0.0306635994063429,-0.196595703307657,0.44795682810783,-0.774208985217407,0.949584643390072,-0.220708902345508,-0.505621928708352,-0.351082385694916,-0.992339509376546,0.135428045634576,0.243321387797548,0.0132766480633455,-1.44128013540376,-0.354579472248952,-0.676474604107843,-0.584109789705022,0.209786903064805,-0.289567958050245,0.974679881865257,-0.35540289110354,-1.19823749537303,0.0926425660854679,1.29670807967945,-1.00699076736464,0.479542117034937,-1.080342281316,-0.425657185634398,0.699532491525218,-0.60932406461542,1.39126567133774,-0.00775728724125901,-0.0613819426559106,-0.195932247617936,1.00881859011391,0.569338451508702,-0.660555331098206,-0.405319282012798,-0.6364132946967,-0.929564673229868,0.228165065855262,-0.280272110672546,-1.24056662907379,0.728508718673828,-0.226359504789271,-0.915857842192255,0.401286176142564,0.842087764470327,0.671178404962572,-0.91652644687751,2.20174193756527,0.0830124611438769,-1.09498094583843,-0.18503294881022
13,"X2","A2","HSD_1_050","T1M","HSD","1","50",-0.525608822685101,0.375420132308551,-0.223700917446507,1.62555949917697,0.645860620838139,-0.445593929571725,-0.820301078568349,1.66526256575425,0.659927099454948,0.169211081797023,0.0851356570183377,0.795471661768238,-0.769252155461335,1.01843671675663,-0.213739406174067,-0.485676499758104,-0.594942131801213,-0.963659425657382,0.136352187422241,0.27159683385526,-0.0934179958709418,-0.865834570139937,-0.641703632737819,-0.89527046822549,-0.556469009805573,0.406396526788702,-0.284217530380813,0.754257091726019,-0.685224806619171,-0.70079942045362,-0.622168219914788,1.2943830522994,-0.838502547982,0.623759895865287,-1.10799140088023,-0.485332347658802,1.16394798440976,-0.596747420407516,1.5593347677436,0.0221352363310139,0.0791616905439101,-0.193047612061834,1.19701882940445,0.948656826534829,-0.707189191430287,-0.569656101685242,-0.614303844478584,-0.713892613996231,0.0257853740788176,-0.290471822826327,-0.979048196634363,0.967756725547416,-0.339127938370948,-0.78966340968793,0.500925335910908,0.711338953374671,0.708555446903262,-0.492677960399027,2.15835524429383,0.249825475893524,-1.73968731721801,0.0250912331892943
6,"X3","A3","HSD_1_100","T1L","HSD","1","100",-0.478353384430283,0.129448145408976,-0.220151444561892,1.65831991130922,0.937982683574074,-0.463114434182877,-0.706675870426862,1.69398268454765,0.692906347647255,0.277552537385818,0.264764760582195,0.865477677371115,-0.800407675114704,1.23807992222739,0.0750835184793308,-0.518111888647661,-0.43811169435264,-1.12371535570674,-0.12801442182761,0.250468641772211,0.0406741231685874,-0.819735069159121,-0.703539356018621,-0.997483686507455,-0.719298173252482,0.307723562403149,-0.26609933955123,0.695919960755996,-0.704468038986806,-0.700555382104101,-1.07807008681796,1.35463325465686,-0.917175089582494,0.629314541590435,-1.12119919016939,-0.974557154326506,1.15419357086664,-0.478013194579762,1.40861566276159,-0.0600492669426682,0.21698423874151,-0.249846002067235,1.13657762051763,0.979126457938798,-0.744177046607786,-0.420975272771223,-0.835798045393573,-0.859245755996941,0.0721918240855342,-0.204842138634106,-0.893277875530689,1.27893609298355,-0.317547941633642,-0.725017139099896,0.429100820304255,0.784230786367699,0.884902886560903,-0.274902566581217,2.06222894433445,0.289280188483134,-1.89893766682471,0.0327652815649158
7,"X4","B1","HSD_2_005","T2S","HSD","2","5",0.026429452139511,0.847143702772938,-0.217672522401989,1.56324993434045,1.78423585043136,0.431989450769782,-0.849357333036376,1.54562001181354,0.606127424450834,0.17319570332075,0.0767437007350864,0.699619504528018,-0.896169304379213,0.870021131725374,-0.302282380307767,-0.594753841521943,-0.317844131772921,-1.20619055645596,-0.0326752497423159,0.124077262118653,-0.112641646306111,-1.5474727925837,-0.454338965108161,-0.743566884204008,-0.468388137253915,0.173137433855365,-0.188610643706381,0.83187744475244,-0.407991643857283,-1.08517937853235,0.124386827718037,1.38597840290945,-0.856286277512237,0.660799461518864,-1.65295717701418,-0.332059819842111,0.857748244803784,-0.665994595786707,1.48049777039525,0.210258950994012,0.201596622081722,-0.119748986002247,0.977052514747458,0.635048536076102,-0.572668031774061,-0.47381339040425,-0.592560457496552,-0.930347832654297,0.0845125036208101,-0.271675807872688,-1.30292938012782,0.737378780109977,-0.758959867602126,-0.869307383468248,0.170690430067599,0.810292570943885,0.536648548871598,-0.77219324388602,2.13682659434545,0.0763261798349522,-1.1703049358583,-0.072568348320825
54,"X5","B2","HSD_2_050","T2M","HSD","2","50",-0.197062330522506,0.303238585319391,-0.467386605029055,1.60153155002697,1.02550551005711,-0.569822103338509,-0.861675974732218,1.64978358093249,0.718999809521662,0.336430168687092,0.107815215280153,0.758729160152201,-0.820704979782461,0.963994365747911,-0.131077510659954,-0.342397727389515,-0.633530091898507,-1.27286654701246,-0.086912905437063,0.4249589894013,-0.0173411789857525,-0.992693016963459,-0.516899220600084,-0.785106073674926,-0.61206292475222,0.355050335639617,-0.259586029915964,0.672716161194566,-0.541472631810259,-0.917113622073445,-0.681699513762432,1.337901865482,-0.697873185294577,0.726998306525394,-1.03586239553208,-0.866984210379377,1.16900233081046,-0.545457104041478,1.42792522507039,0.142231681773212,0.315643140156627,-0.207710861750072,1.14720749140555,0.950267548716968,-0.630930124104997,-0.578509139865549,-0.716740741663088,-0.719799004446752,-0.011328573273742,-0.355882068542221,-0.861761056017199,0.925773358976214,-0.429902374939309,-0.855102670140071,0.259753249190666,0.722875938882146,0.752100143882338,-0.308590834562069,2.12736762781186,0.204459450676553,-1.63398789130241,0.0355724328749467
47,"X6","B3","HSD_2_100","T2L","HSD","2","100",-0.23362376842879,-0.00374173593066018,-0.235852852232481,1.6105115410886,1.12405213867593,-0.535290211086298,-0.722278086552194,1.65796995972077,0.699925756302527,0.376815705269776,0.23617458907371,0.992891383337519,-0.868251535813742,1.14420914443835,0.101988224650275,-0.406617824420679,-0.490868421683591,-1.35341625812095,-0.148540963227267,0.413577269452461,0.0454975263331807,-0.863781825097652,-0.55763630815254,-0.922453484533045,-0.650966536951912,0.320725560819688,-0.292746801071842,0.661100318408711,-0.559730757412797,-0.831352550616486,-1.0459741149039,1.37328374816906,-0.873317753931278,0.697390344104402,-1.05488388871418,-1.08077414439035,1.1355158693434,-0.681695788530757,1.46135495722648,-0.0458067504493584,0.297084120425373,-0.242341663177236,1.0620439030947,0.994923846695873,-0.644185688292421,-0.468490452648131,-0.831744984783877,-0.837376181792216,0.0113841521544931,-0.301949207616099,-0.782794833014133,1.28296139507745,-0.550321468977711,-0.693038366042908,0.206765653561926,0.751731840473568,0.848682073185159,-0.223883394570604,2.06764836806543,0.195992122971981,-1.75399860198559,0.0175256930328596
22,"X7","C1","HSD_3_005","T3S","HSD","3","5",0.140227860598805,0.776530006525451,-0.358032482901661,1.51718613940522,1.88689904489674,0.538829269237374,-0.945856032687029,1.54445904174542,0.527261896076218,0.0636337404328771,-0.0488260236354723,0.628439805789934,-0.807250357620342,0.98115884189852,-0.186496096715518,-0.575419072100687,-0.392059332665576,-1.22784164067994,-0.219517052260786,0.498598658696587,-0.156616378686047,-1.56098415601533,-0.420243531113919,-0.729977916769743,-0.310577564403054,0.201877598471003,-0.210727881772484,0.803074027263328,-0.420222950897243,-1.04912387593467,0.035613959212748,1.3826900352789,-0.704381462138893,0.630717973280896,-1.66216463682712,-0.342646100034112,0.83524327948753,-0.528360545823708,1.56252069936849,0.394265709086094,0.127783427922638,-0.187563244927344,1.02258741806062,0.796863227746845,-0.617068275707569,-0.575860017239477,-0.385409471597128,-0.800211222983407,0.0910127741830298,-0.312882657537986,-1.30913447684493,0.329945564468827,-0.534895542034111,-1.10549095823955,0.202737959278024,0.813572355119796,0.379940326063203,-1.02861811076702,2.13572113454292,0.00596058445403802,-1.05667375485897,-0.0842195341712175
49,"X8","C2","HSD_3_050","T3M","HSD","3","50",-0.227717073671592,0.214897223112198,-0.201470997661914,1.6138559895294,1.05891705246528,-0.236144216104575,-0.737690719408717,1.61891571056546,0.646509967066609,0.27470141351745,0.0943657668539686,0.684507238179471,-0.896641476760918,1.03708520669157,-0.220369899286948,-0.342964249374128,-0.638945041189598,-1.09170354472734,-0.209704698459831,0.709158086096606,0.00443245684050186,-1.04276811507502,-0.534142408494344,-0.802425609392171,-0.67277449873554,0.121223073469133,-0.362347318749232,0.659764770448049,-0.531270859265986,-0.946175275417444,-0.669719040214919,1.23123721431289,-0.990548951992329,0.764209634771379,-1.47873971200362,-0.748011380104735,1.21734675941591,-0.621655018009894,1.43195784239747,0.414203293127341,0.243842077150267,-0.323756824455216,1.11679595122557,1.01045105738925,-0.543578701293568,-0.552288143135618,-0.420000780725036,-0.824945080033468,0.0268312848460717,-0.342184766825143,-1.00011062287326,1.27580898991629,-0.432164884387908,-0.753790267455819,0.414267313882572,0.751053386326507,0.709037749779108,-0.514625747782087,2.07974273849028,0.25289576842636,-1.81157519721395,0.0449361039889151
51,"X9","C3","HSD_3_100","T3L","HSD","3","100",-0.201501821833988,0.0533918824325417,-0.216602727675143,1.67182219347852,1.17481164787467,-0.35344127866249,-0.830349583608176,1.6227452336614,0.663649052729846,0.395105246851531,0.197196352979654,0.818673057380706,-0.916341190736624,1.19167041346496,0.0599512827348638,-0.307773083847921,-0.535621423159152,-1.20476247227071,-0.236858972371823,0.602072162436025,0.127243091645396,-0.802118544602716,-0.525445589451337,-0.876873457326064,-0.550586096120138,0.142257565143542,-0.28407375374154,0.678698872446382,-0.528190293942547,-0.763179672261277,-1.00301237434153,1.34575743190836,-1.0317328763947,0.793859784703399,-1.19549045839667,-0.997440583027061,1.1867218386738,-0.693830476577579,1.50193286151626,0.118341152143736,0.224314750186803,-0.283794265907185,1.07268543460785,1.04419945575801,-0.609631310877216,-0.437141250507806,-0.658185590829321,-0.882766826872217,0.0475405706918464,-0.27515984123725,-0.866999270589933,1.09372527257856,-0.414865985015818,-0.715452466916786,0.263485056489844,0.75670568435887,0.722851169028779,-0.526461101169385,2.02056146764801,0.118837861619911,-1.96798803948473,-0.0171351674172424
21,"X10","D1","HSD_4_005","T4S","HSD","4","5",-0.0195575124846661,0.788287824968751,-0.326973118098256,1.64408527159543,1.75956707965732,0.1662159372506,-0.888310350838903,1.52484194314958,0.568340767665784,0.0514204355310364,-0.119695156269959,0.503623663349027,-0.823525835191752,1.19358358616502,-0.184221174526513,-0.609484309754806,-0.35328395201147,-0.985513290125803,-0.162066049039065,0.198912863323699,-0.105716050136974,-0.914832500680596,-0.482097688624704,-0.892676087998533,-0.416903736944116,0.355934843369075,-0.289137593803148,0.948149186304221,-0.478319344281024,-1.02531657325008,0.154767565167558,1.27820035775842,-0.850789955844,0.615888468097292,-1.85743370883108,-0.748912228389246,0.553187816715411,-0.305166876740302,1.51453274626649,0.0390314487894532,0.0951995716750762,-0.226132993911531,0.83492027142707,0.738269757828661,-0.651424130876041,-0.574183259325655,-0.421246391909769,-0.743785133552854,0.185782202568,-0.157708075822433,-1.25024361857648,0.546810893592903,-0.347963920392801,-0.815858389944948,0.442308222735606,0.857564402702263,0.59660097067663,-0.799952763619429,2.08515940216909,-0.0396952137535953,-1.13571348494152,-0.237347030007434
5,"X11","D2","HSD_4_050","T4M","HSD","4","50",0.0381484465264057,0.424099758343613,-0.20438834193298,1.60511337004408,1.04624542522149,-0.370330864794702,-0.817266300792125,1.6118720924711,0.741991581192065,0.371109529395144,0.130095159845666,0.71155491112739,-0.783202553137222,0.84995139017881,-0.501810805549798,-0.398497126174305,-0.838530323549086,-1.04635779504651,-0.217795583578762,0.669016276826907,-0.0678724513211124,-1.04414405237674,-0.585104729452437,-1.01957189236746,-0.668194986119746,0.283192370128917,-0.380754711730757,0.683179884121932,-0.636519675467324,-0.95166724735381,-0.504111596831565,1.1888925657077,-0.894230237884686,0.727639555676579,-1.24553930875431,-0.606867445795777,1.11926486975647,-0.623809360825565,1.62511080016185,0.298690990499082,0.392217202135663,-0.282274540991457,1.08719847459644,0.986686223581867,-0.616011430775386,-0.671464301219396,-0.503809888600914,-0.761142166183816,-0.0493072053166683,-0.353960689227313,-0.930278397027827,1.11573409311097,-0.30038541680143,-0.729378367421346,0.441015283415433,0.714924276002003,0.661297510956175,-0.543237972799117,2.07977874420116,0.211343469493062,-1.71436852785043,0.0468220403339066
4,"X12","D3","HSD_4_100","T4L","HSD","4","100",-0.0878425920447041,0.0157279562995356,-0.197733133637223,1.64664295260766,1.28541477559295,-0.427466318324003,-0.74698478781265,1.66773735267111,0.764329478130498,0.387448873616835,0.222020766429906,0.81831683862052,-0.811313880725361,1.11725319516705,0.015999497054958,-0.452037560155,-0.561732705666593,-1.23612539357327,-0.264047847990157,0.660496862416401,0.123370261178869,-0.897321768768024,-0.702389505615347,-1.13723199336477,-0.807925856316197,0.157135163452275,-0.320299415694504,0.633996536260813,-0.703486140956629,-0.748313270597161,-0.983878826766968,1.32973069982586,-0.967113210389273,0.735413248662625,-1.11049181292859,-0.934702951629552,1.13666794171178,-0.644820934554468,1.50485853764552,0.147182523854807,0.400388901450431,-0.270041991133612,1.00818001509896,1.02626679513394,-0.550580900447557,-0.435306259546573,-0.693328462099917,-0.84209225540465,0.00900025434174978,-0.294701221619386,-0.843907954792344,1.11308486706505,-0.467307933868893,-0.744610005057022,0.386724776545204,0.758292783732625,0.82578982211905,-0.391931910081287,1.97071462299397,0.236124571472078,-1.85503934979834,0.0277972802070057
2,"X13","E1","HSD_5_005","T5S","HSD","5","5",0.105185151089334,0.961662458104831,-0.224920053106909,1.68910718459219,1.86379393658764,0.288867972988312,-0.85770933888786,1.56666637204876,0.620728537707269,0.0411429332283575,-0.0746740958987653,0.592515031651761,-0.709679611859291,1.11393143242611,-0.35799806404574,-0.630671609520027,-0.372958306962792,-0.9950415893804,-0.0730441196474763,0.399020157932726,-0.117663005820484,-1.42663643946807,-0.55862524887936,-0.901032738377147,-0.46757317601124,0.295909996427647,-0.255917168829118,0.934624709143749,-0.558204738887921,-1.0624129499809,0.0850074129079816,1.32143896035413,-0.871175784980832,0.683696484507215,-1.30578918863544,-0.399874304356102,0.793952663752574,-0.807343492860139,1.42318805733786,0.16416236253874,0.335501074537475,-0.170117329374534,0.862031436283245,0.502329155703223,-0.704676660220018,-0.485891972117862,-0.610696429018653,-0.854158474867448,0.209852218903906,-0.480180659539435,-1.29589678397338,0.554993035853139,-0.184990577008079,-1.03317130221745,0.569248654451015,0.790567044792009,0.515769453542171,-1.1134903877284,2.08370633516784,-0.118432209224671,-1.10304059724398,-0.184911815631321
14,"X14","E2","HSD_5_050","T5M","HSD","5","50",-0.27516943964625,0.294654706226777,-0.247681842156679,1.55727025033682,0.868904991357915,-0.522140056517807,-0.789137940868902,1.66726556433855,0.662409302206888,0.259181890946793,0.105900044943334,0.711393819881521,-0.836282696371075,0.971255782405697,-0.265778278170457,-0.451613518975696,-0.716764839098433,-1.1316841758059,-0.101474413228111,0.484431272714167,-0.0557828401485505,-0.872272285847718,-0.642732719205791,-0.849402191199055,-0.564615484374419,0.332882603230519,-0.363550475812675,0.658077066541241,-0.631694746927775,-0.696412744328086,-0.633904967192617,1.22855358892428,-0.863316206858888,0.756096524448083,-1.18120665149152,-0.776600469523422,1.16518210449782,-0.357523002798731,1.56898774130576,0.0841568089217812,0.323802056630544,-0.251335577504658,1.04486443650836,0.943167595204167,-0.719256258166522,-0.667848943127243,-0.531452528726107,-0.70334577182201,-0.0323170759987379,-0.235957339765906,-0.998466115191928,1.19660799386886,-0.432374375356163,-0.670927758721104,0.387848565348476,0.784150309276253,0.844645680978259,-0.222820642874718,2.02596765801125,0.20304591048739,-1.81116058557476,-0.0266993101630959
44,"X15","E3","HSD_5_100","T5L","HSD","5","100",-0.325909841399316,0.0594178841241568,-0.25264615076642,1.61171618665367,1.13387965972776,-0.373024858114196,-0.825451010259812,1.61498568536323,0.649777118493607,0.17001562823389,0.175057418551571,0.732468326682867,-0.890026600412037,1.21361194184519,0.0132227016108972,-0.470119981846506,-0.539608101330749,-1.21299638683083,-0.205688817154939,0.683857741125173,0.129047009388453,-0.865176986424624,-0.549565454624614,-0.947523424819794,-0.657508988581152,0.409381056104071,-0.287474892692852,0.584251106626088,-0.560469678268853,-0.905414314401538,-0.978033007311763,1.32152604926921,-0.979657233857236,0.842840584920851,-1.08065896558907,-0.885753770458538,1.14681671325614,-0.610867292618961,1.49866936560564,0.169716409397052,0.332914889437808,-0.265642581455981,0.977956662228473,0.970334615502011,-0.722848335687863,-0.499269362829601,-0.601447308572604,-0.872198880268265,0.0113480323074322,-0.24500785758445,-0.903852163196125,1.30777516058274,-0.362963015325546,-0.672426487040111,0.441734830799988,0.79154882451617,0.877185479017418,-0.318302718775691,2.038610530668,0.144825033624239,-2.21999126517466,0.033033088010904
