Column 1,DGRP,Genotype #,InOutbred,wolbachia_inf,2026
25183,25183,335,1,y,1
25180,25180,313,1,n,1
25181,25181,NA,0.1,NA,0
25182,25182,324,1,n,1
25188,25188,375,1,n,1
25190,25190,380,1,y,1
25191,25191,391,1,n,1
25192,25192,399,1,n,1
25193,25193,427,1,n,1
25194,25194,437,1,n,1
25197,25197,517,1,n,1
25201,25201,712,1,y,1
25203,25203,732,1,n,1
25206,25206,786,1,y,1
25208,25208,820,1,y,1
25209,25209,852,1,y,1
25210,25210,859,1,y,1
25445,25445,365,1,y,1
25744,25744,705,1,y,1
28122,28122,21,1,y,1
28123,28123,26,1,n,1
28130,28130,69,,y,1
28131,28131,73,1,y,1
28134,28134,83,1,n,1
28135,28135,88,1,n,1
28136,28136,91,1,n,1
28138,28138,101,1,n,1
28139,28139,105,1,n,1
28140,28140,109,1,n,1
28141,28141,129,1,n,1
28142,28142,136,1,y,1
28144,28144,142,1,y,1
28145,28145,149,1,y,1
28146,28146,153,1,y,1
28148,28148,161,1,n,1
28149,28149,176,1,y,1
28150,28150,177,1,n,1
28151,28151,181,1,y,1
28152,28152,189,1,y,1
28154,28154,217,1,n,1
28156,28156,227,1,y,1
28157,28157,228,1,n,1
28161,28161,239,1,n,1
28165,28165,287,1,y,1
28166,28166,309,1,n,1
28168,28168,318,1,y,1
28171,28171,NA,1,NA,1
28173,28173,NA,1,NA,1
28174,28174,NA,1,NA,0
28176,28176,332,1,n,1
28178,28178,338,1,y,1
28179,28179,359,1,n,1
28182,28182,370,1,y,1
28183,28183,371,1,n,1
28184,28184,373,1,n,1
28185,28185,374,1,y,1
28188,28188,381,1,n,1
28189,28189,382,1,y,1
28191,28191,385,1,n,1
28192,28192,386,1,n,1
28197,28197,440,1,y,1
28198,28198,441,1,y,1
28199,28199,443,1,n,1
28204,28204,502,1,n,1
28206,28206,509,1,n,1
28208,28208,535,1,y,1
28211,28211,563,1,n,1
28213,28213,589,1,y,1
28218,28218,703,1,n,1
28224,28224,748,1,y,1
28226,28226,757,1,n,1
28229,28229,776,1,y,1
28230,28230,783,1,y,1
28234,28234,801,1,y,1
28236,28236,804,1,y,1
28240,28240,812,1,n,1
28242,28242,819,1,y,1
28243,28243,821,1,y,1
28252,28252,857,1,n,1
28253,28253,861,1,y,1
28257,28257,890,1,y,1
28261,28261,900,1,n,1
28263,28263,908,1,n,1
28274,28274,85,1,n,1
28276,28276,310,1,y,1
29655,29655,321,1,y,1
29656,29656,405,1,y,1
29657,29657,406,1,n,1
29659,29659,513,1,y,1
37525,37525,306,1,y,1
55014,55014,31,1,n,1
55016,55016,48,1,y,1
55017,55017,100,1,y,1
55021,55021,390,1,n,1
55026,55026,551,1,y,1
55027,55027,559,1,n,1
55028,55028,566,1,n,1
55032,55032,634,1,y,1
83729,83729,737,1,y,1
,25175,,1,,1
,,,98.1,49,98
,,,,0.510416667,
,,,,% lines infected,